Order,Sample Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,DNA_DOE,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039
92,20f,1.407647747,0.060175903,Corn,100N,Carbon,87,6.543906343,3.50E+06,8.40364232,2.53E+08,7.570837722,3.72E+07,8.555533025,3.59E+08,8.812841284,6.50E+08,16443414.73,0,0,1221467103,0,18908060.34,0
93,21f,0.168209479,9.63740232,Corn,100N,Nitrogen,87,4.869515629,7.40E+04,6.429356244,2.69E+06,5.918765282,8.29E+05,6.749192685,5.61E+06,6.960466973,9.13E+06,0,0,0,67207350.51,0,0,0
94,22f,0.18591574,13.63678542,Corn,300N,Control,87,7.384540332,2.42E+07,8.774307652,5.95E+08,8.057274113,1.14E+08,8.878529226,7.56E+08,9.165785212,1.46E+09,18919827.25,56083339.97,43585412.77,1526304944,6355325.897,0,6626517.01
95,23f,0.212475132,9.146737265,Corn,300N,Carbon,87,7.51706575,3.29E+07,8.782908141,6.07E+08,8.187048307,1.54E+08,8.913380552,8.19E+08,9.198553413,1.58E+09,35210194.02,50156123.73,32751685.51,1915024754,13772022.57,26980822.27,20174039.39
96,24f,0.097384435,15.14118299,Corn,300N,Nitrogen,87,7.618492668,4.15E+07,8.854866958,7.16E+08,8.244588405,1.76E+08,9.001208671,1.00E+09,9.277457206,1.89E+09,12299881.74,25431409.08,32935109.55,1997089758,8699959.592,25593967.36,25096448.49
97,25f,0.118118535,8.818495769,Corn,300N,Control,87,7.436247564,2.73E+07,8.765560492,5.83E+08,8.094845797,1.24E+08,8.873480339,7.47E+08,9.162724784,1.45E+09,19654624.31,43046446.99,21661174.86,1936002564,0,0,16126570.79
98,26f,0,9.765649074,Corn,300N,Carbon,87,7.381906559,2.41E+07,8.798792877,6.29E+08,8.0576808,1.14E+08,8.859522272,7.24E+08,9.16644474,1.47E+09,21808224.95,28734337.27,35256650.84,2438191224,25581298.15,43343386.64,25669881
99,27f,0.088588901,13.7287379,Corn,300N,Nitrogen,87,7.562070256,3.65E+07,8.797959167,6.28E+08,8.236205364,1.72E+08,8.82435632,6.67E+08,9.166614121,1.47E+09,22702512.75,84528385.7,42364506.25,1806530851,15719307.78,10860608.4,13958895.87
100,28f,0.088588901,13.07071561,Corn,0N,Control,87,6.702205423,5.04E+06,8.789067801,6.15E+08,7.200285976,1.59E+07,8.837546795,6.88E+08,9.120266633,1.32E+09,0,0,33784278.09,2374880064,0,0,0
101,29f,0.108275324,7.01890449,Corn,0N,Carbon,87,4.508687505,3.23E+04,6.484386303,3.05E+06,5.584055922,3.84E+05,6.757429483,5.72E+06,6.961649078,9.15E+06,0,0,0,0,0,0,0
