"crop_T1","fert_T1","doe_T1","unique_soil_T1","Cntrl_CO2_flux_ug_g_d","Cntrl_CO2_flux_ug_g_d_glu","Cntrl_CO2_flux_ug_g_d_soil","Cntrl_cum_CO2_flux_ug_g","Cntrl_cum_CO2_flux_ug_g_glu","Cntrl_cum_CO2_flux_ug_g_soil","glucose_CO2_flux_ug_g_d","glucose_CO2_flux_ug_g_d_glu","glucose_CO2_flux_ug_g_d_soil","glucose_cum_CO2_flux_ug_g","glucose_cum_CO2_flux_ug_g_glu","glucose_cum_CO2_flux_ug_g_soil","priming_CO2_flux_ug_g_d","priming_cum_CO2_flux_ug_g_soil","relativePE_cum_CO2_flux_ug_g_soil"
"Mxg","0N",67,18,10.6723555489837,NA,10.6723555489837,1029.06375219934,NA,1029.06375219934,10.6543897238618,0.477252943794296,10.1771367800675,1073.31216055658,127.027933623643,946.284226932935,-0.495218768916169,-82.7795252664082,-82.7795252664082
"Mxg","0N",67,21,24.9372849146968,NA,24.9372849146968,2064.14328584336,NA,2064.14328584336,26.1047277181021,1.30512124510434,24.7996064729977,2383.31378027761,239.150189669165,2144.16359060845,-0.137678441699073,80.0203047650839,80.0203047650839
"Mxg","0N",67,23,28.4482300072941,NA,28.4482300072941,2420.72859593287,NA,2420.72859593287,34.2178584926301,1.27661888089636,32.9412396117337,2620.8060796871,202.504068151314,2418.30201153578,4.49300960443957,-2.42658439709248,-2.42658439709248
"Mxg","0N",76,17,17.0855905125966,NA,17.0855905125966,1889.688398945,NA,1889.688398945,18.6427523493453,0.569784827859971,18.0729675214854,2202.92264410307,159.354076697361,2043.56856740571,0.987377008888739,153.880168460712,153.880168460712
"Mxg","0N",76,18,8.99463843192921,NA,8.99463843192921,1110.01549808671,NA,1110.01549808671,8.80624007064254,0.447584742667828,8.35865532797471,1152.56832119236,131.056196307653,1021.51212488471,-0.6359831039545,-88.5033732019987,-88.5033732019987
"Mxg","0N",76,21,29.3138434891139,NA,29.3138434891139,2327.96787724539,NA,2327.96787724539,28.2100490412782,1.21556200296481,26.9944870383134,2637.20422164912,250.090247695848,2387.11397395327,-2.31935645080053,59.1460967078792,59.1460967078792
"Mxg","0N",76,23,30.4089968254455,NA,30.4089968254455,2694.40956736188,NA,2694.40956736188,36.2846316718687,1.25212532479546,35.0325063470732,2947.36776473391,213.773196074473,2733.59456865944,4.62350952162774,39.1850012975569,39.1850012975569
"Mxg","0N",87,17,15.0741053783748,NA,15.0741053783748,2055.50355810712,NA,2055.50355810712,16.1441129688247,0.44817370401376,15.6959392648109,2380.50788676014,164.283987441513,2216.22389931863,0.621833886436054,160.72034121151,160.72034121151
"Mxg","0N",87,18,8.27149988226553,NA,8.27149988226553,1201.00199679163,NA,1201.00199679163,8.31952575569102,0.37578487415373,7.94374088153729,1244.08310450496,135.189829923344,1108.89327458162,-0.327759000728244,-92.1087222100091,-92.1087222100091
"Mxg","0N",87,21,22.5211984941454,NA,22.5211984941454,2575.70106068099,NA,2575.70106068099,21.4264691520389,0.830629771792424,20.5958393802464,2872.89538232154,259.227175185565,2613.66820713598,-1.92535911389896,37.9671464549906,37.9671464549906
"Mxg","0N",87,23,26.0687613552622,NA,26.0687613552622,2981.16594226977,NA,2981.16594226977,29.0892868458305,0.870975114642417,28.2183117311881,3267.34992003805,223.353922335539,3043.99599770251,2.14955037592586,62.8300554327416,62.8300554327416
"Mxg","0N",100,17,15.7542191823909,NA,15.7542191823909,2260.3084074782,NA,2260.3084074782,16.9830325468693,0.459053603862553,16.5239789430068,2601.28730986944,170.251684291726,2431.03562557772,0.769759760615866,170.727218099515,170.727218099515
"Mxg","0N",100,18,8.98169426934464,NA,8.98169426934464,1317.76402229311,NA,1317.76402229311,8.81914972241741,0.402424085508063,8.41672563690934,1358.73205089639,140.421343034949,1218.31070786144,-0.564968632435296,-99.4533144316681,-99.4533144316681
"Mxg","0N",100,21,26.394968862339,NA,26.394968862339,2918.83565589139,NA,2918.83565589139,23.0850054448678,0.853742442678931,22.2312630021888,3173.00045310482,270.325826940391,2902.67462616443,-4.16370586015019,-16.1610297269617,-16.1610297269617
"Mxg","0N",100,23,28.2999397954446,NA,28.2999397954446,3349.06515961055,NA,3349.06515961055,34.6084399451584,1.01830456190484,33.5901353832536,3717.25963932511,236.591881640302,3480.66775768481,5.29019558780894,131.602598074257,131.602598074257
"Mxg","0N",114,17,10.3145948826695,NA,10.3145948826695,2404.71273583558,NA,2404.71273583558,14.3149173441699,0.36083201002084,13.9540853341491,2801.69615268782,175.303332432018,2626.3928202558,3.63949045147959,221.68008442023,221.68008442023
