factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Crop,Corn,144,Carbon,-0.965,0.817,0.236,-0.018,-0.035,-0.01,1.857,net_nitr_rate_rel
Crop,Corn,144,Control,-0.947,0.851,0.246,0,0,0,0,net_nitr_rate_rel
Crop,Corn,144,Nitrogen,-0.393,2.803,0.809,0.554,1.951,0.563,-58.468,net_nitr_rate_rel
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,4,Carbon,-4.688,5.042,1.456,-4.335,1.416,0.409,1227.289,net_nitr_rate_rel
Crop,Miscanthus,4,Control,-0.353,3.627,1.047,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,4,Nitrogen,1.947,4.936,1.425,2.3,1.31,0.378,-651.141,net_nitr_rate_rel
Crop,Miscanthus,15,Carbon,0.098,0.638,0.184,0.328,-0.89,-0.257,-142.383,net_nitr_rate_rel
Crop,Miscanthus,15,Control,-0.231,1.528,0.441,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,15,Nitrogen,-0.617,1.841,0.532,-0.386,0.313,0.09,167.435,net_nitr_rate_rel
Crop,Miscanthus,30,Carbon,1.188,1.199,0.346,-0.727,-0.25,-0.072,-37.962,net_nitr_rate_rel
Crop,Miscanthus,30,Control,1.915,1.449,0.418,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,30,Nitrogen,3.251,2.104,0.607,1.336,0.655,0.189,69.765,net_nitr_rate_rel
Crop,Miscanthus,59,Carbon,1.323,0.901,0.26,0.229,-0.284,-0.082,20.944,net_nitr_rate_rel
Crop,Miscanthus,59,Control,1.094,1.186,0.342,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,59,Nitrogen,1.01,1.349,0.389,-0.084,0.163,0.047,-7.678,net_nitr_rate_rel
Crop,Miscanthus,86,Carbon,1.179,1.26,0.364,0.173,-0.208,-0.06,17.189,net_nitr_rate_rel
Crop,Miscanthus,86,Control,1.006,1.468,0.424,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,86,Nitrogen,0.589,1.503,0.434,-0.417,0.035,0.01,-41.465,net_nitr_rate_rel
Crop,Miscanthus,113,Carbon,1.485,1.362,0.393,-0.167,-0.14,-0.04,-10.088,net_nitr_rate_rel
Crop,Miscanthus,113,Control,1.651,1.502,0.433,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,113,Nitrogen,1.871,1.5,0.433,0.219,-0.001,0,13.29,net_nitr_rate_rel
Crop,Miscanthus,144,Carbon,0.319,1.851,0.534,-0.001,0.227,0.065,-0.157,net_nitr_rate_rel
Crop,Miscanthus,144,Control,0.319,1.624,0.469,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,144,Nitrogen,1.167,3.87,1.117,0.848,2.246,0.648,265.485,net_nitr_rate_rel
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,4,Carbon,-1.197,3.162,0.913,-2.023,-0.025,-0.007,-244.998,net_nitr_rate_abs
Crop,Corn,4,Control,0.826,3.188,0.92,0,0,0,0,net_nitr_rate_abs
Crop,Corn,4,Nitrogen,4.182,4.196,1.211,3.357,1.009,0.291,406.597,net_nitr_rate_abs
Crop,Corn,15,Carbon,-0.715,1.005,0.29,-1.292,-1.594,-0.46,-223.965,net_nitr_rate_abs
Crop,Corn,15,Control,0.577,2.599,0.75,0,0,0,0,net_nitr_rate_abs
Crop,Corn,15,Nitrogen,0.625,1.072,0.31,0.048,-1.527,-0.441,8.33,net_nitr_rate_abs
Crop,Corn,30,Carbon,0.844,1.324,0.382,-0.767,-0.135,-0.039,-47.59,net_nitr_rate_abs
Crop,Corn,30,Control,1.611,1.459,0.421,0,0,0,0,net_nitr_rate_abs
Crop,Corn,30,Nitrogen,2.97,0.698,0.202,1.359,-0.761,-0.22,84.37,net_nitr_rate_abs
Crop,Corn,59,Carbon,1.494,0.829,0.239,-0.281,-0.213,-0.062,-15.845,net_nitr_rate_abs
Crop,Corn,59,Control,1.775,1.042,0.301,0,0,0,0,net_nitr_rate_abs
Crop,Corn,59,Nitrogen,2.905,0.799,0.231,1.13,-0.244,-0.07,63.647,net_nitr_rate_abs
Crop,Corn,86,Carbon,2.988,1.183,0.342,-1.133,-0.278,-0.08,-27.501,net_nitr_rate_abs
Crop,Corn,86,Control,4.121,1.461,0.422,0,0,0,0,net_nitr_rate_abs
Crop,Corn,86,Nitrogen,4.947,1.569,0.453,0.826,0.108,0.031,20.032,net_nitr_rate_abs
Crop,Corn,113,Carbon,6.862,2.553,0.737,-0.705,-0.142,-0.041,-9.315,net_nitr_rate_abs
Crop,Corn,113,Control,7.567,2.694,0.778,0,0,0,0,net_nitr_rate_abs
Crop,Corn,113,Nitrogen,7.431,3.252,0.939,-0.136,0.557,0.161,-1.791,net_nitr_rate_abs
Crop,Corn,144,Carbon,5.012,1.947,0.562,-0.631,-0.362,-0.104,-11.19,net_nitr_rate_abs
Crop,Corn,144,Control,5.643,2.309,0.667,0,0,0,0,net_nitr_rate_abs
Crop,Corn,144,Nitrogen,6.079,1.967,0.568,0.436,-0.342,-0.099,7.724,net_nitr_rate_abs
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,4,Carbon,-4.688,5.042,1.456,-4.335,1.416,0.409,1227.289,net_nitr_rate_abs
Crop,Miscanthus,4,Control,-0.353,3.627,1.047,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,4,Nitrogen,1.947,4.936,1.425,2.3,1.31,0.378,-651.141,net_nitr_rate_abs
Crop,Miscanthus,15,Carbon,-1.607,1.629,0.47,-1.248,0.615,0.178,347.569,net_nitr_rate_abs
Crop,Miscanthus,15,Control,-0.359,1.014,0.293,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,15,Nitrogen,0.091,2.708,0.782,0.45,1.693,0.489,-125.381,net_nitr_rate_abs
Crop,Miscanthus,30,Carbon,0.009,1.244,0.359,-1.642,0.198,0.057,-99.433,net_nitr_rate_abs
Crop,Miscanthus,30,Control,1.651,1.046,0.302,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,30,Nitrogen,3.317,1.497,0.432,1.666,0.452,0.13,100.88,net_nitr_rate_abs
Crop,Miscanthus,59,Carbon,1.328,1.207,0.349,-0.62,-0.259,-0.075,-31.839,net_nitr_rate_abs
Crop,Miscanthus,59,Control,1.948,1.466,0.423,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,59,Nitrogen,2.726,1.724,0.498,0.778,0.257,0.074,39.923,net_nitr_rate_abs
Crop,Miscanthus,86,Carbon,2.606,2.315,0.668,-0.493,-0.088,-0.025,-15.917,net_nitr_rate_abs
Crop,Miscanthus,86,Control,3.099,2.403,0.694,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,86,Nitrogen,3.517,2.16,0.624,0.418,-0.242,-0.07,13.491,net_nitr_rate_abs
Crop,Miscanthus,113,Carbon,4.09,3.218,0.929,-0.66,-0.212,-0.061,-13.89,net_nitr_rate_abs
Crop,Miscanthus,113,Control,4.75,3.43,0.99,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,113,Nitrogen,5.388,2.68,0.774,0.638,-0.75,-0.217,13.421,net_nitr_rate_abs
Crop,Miscanthus,144,Carbon,3.881,3.617,1.044,-0.575,0.228,0.066,-12.907,net_nitr_rate_abs
Crop,Miscanthus,144,Control,4.457,3.389,0.978,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,144,Nitrogen,5.86,5.097,1.471,1.403,1.708,0.493,31.479,net_nitr_rate_abs
