factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Treatment,336N,5,Carbon,142.406,35.888,12.688,43.579,-4.163,-1.472,44.097,cum_CO2_flux_ug_g
Treatment,336N,5,Control,98.826,40.051,14.16,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,5,Nitrogen,89.531,36.491,12.901,-9.296,-3.56,-1.259,-9.406,cum_CO2_flux_ug_g
Treatment,336N,10,Carbon,264.468,69.878,24.706,66.739,-9.105,-3.219,33.753,cum_CO2_flux_ug_g
Treatment,336N,10,Control,197.729,78.984,27.925,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,10,Nitrogen,177.483,73.684,26.051,-20.246,-5.299,-1.874,-10.239,cum_CO2_flux_ug_g
Treatment,336N,16,Carbon,391.41,106.295,37.581,84.915,-13.344,-4.718,27.705,cum_CO2_flux_ug_g
Treatment,336N,16,Control,306.494,119.639,42.299,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,16,Nitrogen,278.684,116.045,41.028,-27.81,-3.594,-1.271,-9.074,cum_CO2_flux_ug_g
Treatment,336N,24,Carbon,590.851,201.332,71.182,101.751,-16.446,-5.815,20.804,cum_CO2_flux_ug_g
Treatment,336N,24,Control,489.099,217.778,76.996,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,24,Nitrogen,446.087,210.054,74.265,-43.013,-7.724,-2.731,-8.794,cum_CO2_flux_ug_g
Treatment,336N,31,Carbon,754.941,277.905,98.254,108.136,-29.402,-10.395,16.718,cum_CO2_flux_ug_g
Treatment,336N,31,Control,646.805,307.306,108.649,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,31,Nitrogen,591.223,294.713,104.197,-55.582,-12.593,-4.452,-8.593,cum_CO2_flux_ug_g
Treatment,336N,38,Carbon,891.16,334.462,118.25,118.575,-36.378,-12.862,15.348,cum_CO2_flux_ug_g
Treatment,336N,38,Control,772.586,370.84,131.112,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,38,Nitrogen,704.545,350.758,124.012,-68.041,-20.082,-7.1,-8.807,cum_CO2_flux_ug_g
Treatment,336N,47,Carbon,1099.149,441.265,156.011,159.986,-35.924,-12.701,17.035,cum_CO2_flux_ug_g
Treatment,336N,47,Control,939.163,477.189,168.712,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,47,Nitrogen,872.543,448.526,158.578,-66.619,-28.663,-10.134,-7.093,cum_CO2_flux_ug_g
Treatment,336N,54,Carbon,1282.035,548.609,193.962,181.974,-38.683,-13.677,16.542,cum_CO2_flux_ug_g
Treatment,336N,54,Control,1100.061,587.292,207.639,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,54,Nitrogen,1022.774,545.159,192.743,-77.288,-42.133,-14.896,-7.026,cum_CO2_flux_ug_g
Treatment,336N,60,Carbon,1409.444,616.194,217.857,194.621,-41.277,-14.594,16.021,cum_CO2_flux_ug_g
Treatment,336N,60,Control,1214.823,657.471,232.451,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,60,Nitrogen,1133.121,612.175,216.436,-81.702,-45.296,-16.015,-6.725,cum_CO2_flux_ug_g
Treatment,336N,67,Carbon,1518.97,664.637,234.985,188.594,-61.074,-21.593,14.176,cum_CO2_flux_ug_g
Treatment,336N,67,Control,1330.376,725.711,256.578,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,67,Nitrogen,1241.464,674.989,238.644,-88.913,-50.723,-17.933,-6.683,cum_CO2_flux_ug_g
Treatment,336N,76,Carbon,1669.976,735.973,260.206,188.283,-76.61,-27.086,12.707,cum_CO2_flux_ug_g
Treatment,336N,76,Control,1481.693,812.583,287.291,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,76,Nitrogen,1384.682,758.001,267.994,-97.011,-54.581,-19.297,-6.547,cum_CO2_flux_ug_g
Treatment,336N,87,Carbon,1830.688,802.707,283.8,193.838,-93.681,-33.121,11.842,cum_CO2_flux_ug_g
Treatment,336N,87,Control,1636.85,896.388,316.921,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,87,Nitrogen,1528.133,833.34,294.63,-108.717,-63.048,-22.291,-6.642,cum_CO2_flux_ug_g
Treatment,336N,100,Carbon,2032.383,893.267,315.818,192.657,-121.281,-42.879,10.472,cum_CO2_flux_ug_g
Treatment,336N,100,Control,1839.725,1014.548,358.697,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,100,Nitrogen,1719.785,942.192,333.115,-119.941,-72.356,-25.582,-6.519,cum_CO2_flux_ug_g
Treatment,336N,114,Carbon,2211.283,963.536,340.661,185.025,-148.282,-52.426,9.131,cum_CO2_flux_ug_g
Treatment,336N,114,Control,2026.258,1111.818,393.087,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,114,Nitrogen,1874.431,1021.881,361.289,-151.827,-89.937,-31.798,-7.493,cum_CO2_flux_ug_g
Treatment,336N,132,Carbon,2469.337,1077.582,380.983,208.765,-161.877,-57.232,9.235,cum_CO2_flux_ug_g
Treatment,336N,132,Control,2260.573,1239.459,438.215,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,132,Nitrogen,2086.335,1132.851,400.523,-174.237,-106.608,-37.692,-7.708,cum_CO2_flux_ug_g
Treatment,336N,146,Carbon,2671.484,1161.581,410.681,233.315,-165.285,-58.437,9.569,cum_CO2_flux_ug_g
Treatment,336N,146,Control,2438.168,1326.867,469.118,0,0,0,0,cum_CO2_flux_ug_g
Treatment,336N,146,Nitrogen,2258.048,1220.343,431.456,-180.12,-106.524,-37.662,-7.388,cum_CO2_flux_ug_g
Crop,Corn,5,Carbon,131.62,20.496,5.917,24.019,-7.333,-2.117,22.323,cum_CO2_flux_ug_g
Crop,Corn,5,Control,107.601,27.829,8.034,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,5,Nitrogen,98.732,33.775,9.75,-8.869,5.946,1.717,-8.243,cum_CO2_flux_ug_g
Crop,Corn,10,Carbon,246.126,36.869,10.643,36.957,-11.7,-3.377,17.669,cum_CO2_flux_ug_g
Crop,Corn,10,Control,209.168,48.569,14.021,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,10,Nitrogen,189.532,58.168,16.792,-19.636,9.599,2.771,-9.388,cum_CO2_flux_ug_g
Crop,Corn,16,Carbon,392.72,70.738,20.42,63.002,-7.514,-2.169,19.108,cum_CO2_flux_ug_g
Crop,Corn,16,Control,329.719,78.252,22.589,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,16,Nitrogen,301.838,90.123,26.016,-27.881,11.871,3.427,-8.456,cum_CO2_flux_ug_g
Crop,Corn,24,Carbon,602.505,140.221,40.478,91.312,-4.697,-1.356,17.862,cum_CO2_flux_ug_g
Crop,Corn,24,Control,511.193,144.918,41.834,0,0,0,0,cum_CO2_flux_ug_g
