sample,Day,sample_id,Crop,Treatment,Addition,CO2_flux_ug_g_d,cum_CO2_flux_ug_g
67,16,8,Miscanthus,0N,Control,31.8476695008839,485.761062637898
68,16,8,Miscanthus,0N,Carbon,25.6578047905395,485.046612213009
69,16,8,Miscanthus,0N,Nitrogen,30.9801526509829,503.735496549093
70,16,8,Miscanthus,112N,Control,27.5959309444326,449.729116415209
71,16,8,Miscanthus,112N,Carbon,30.2744369265478,537.207979038785
72,16,8,Miscanthus,112N,Nitrogen,24.2488609380582,397.908035057319
1,24,10,Corn,0N,Control,34.2075675820718,715.219199617236
2,24,10,Corn,0N,Carbon,38.671487429132,845.46478886987
3,24,10,Corn,0N,Nitrogen,32.0316227759584,734.358502496214
4,24,10,Corn,112N,Control,23.0262614805459,548.385652722721
5,24,10,Corn,112N,Carbon,27.3377247427561,620.397628798051
6,24,10,Corn,112N,Nitrogen,19.044591407373,489.149235421715
7,24,10,Corn,0N,Control,15.7602896945163,387.785026683647
8,24,10,Corn,0N,Carbon,22.7644952880361,542.439376621003
9,24,10,Corn,0N,Nitrogen,14.0768533121023,335.393029846608
10,24,10,Corn,112N,Control,24.4562287410343,566.928238864576
11,24,10,Corn,112N,Carbon,27.6494755507989,643.252890757151
12,24,10,Corn,112N,Nitrogen,24.9081700132079,556.757670399825
13,24,10,Corn,336N,Control,10.6258504192372,308.76658380242
14,24,10,Corn,336N,Carbon,12.8047559519907,419.827682516856
15,24,10,Corn,336N,Nitrogen,10.9681571033138,301.956086431383
16,24,10,Corn,336N,Control,12.5712825283093,308.106749352094
17,24,10,Corn,336N,Carbon,16.0089566505758,444.281074656473
18,24,10,Corn,336N,Nitrogen,10.9343393420914,262.117053982604
19,24,10,Corn,112N,Control,12.2365488775708,350.413133230885
20,24,10,Corn,112N,Carbon,13.8682195243321,409.277206428072
21,24,10,Corn,112N,Nitrogen,4.76518743921844,221.775830312623
22,24,10,Corn,336N,Control,28.2363515079788,561.673558467366
23,24,10,Corn,336N,Carbon,35.6238711411857,707.741420570139
24,24,10,Corn,336N,Nitrogen,29.9892164488251,561.933697038481
25,24,10,Corn,336N,Control,32.6958060319069,638.346598092299
26,24,10,Corn,336N,Carbon,35.5914789720977,735.595058452997
27,24,10,Corn,336N,Nitrogen,29.2596205575092,595.740644091973
28,24,10,Corn,0N,Control,31.3585449667871,650.387763088079
29,24,10,Corn,0N,Carbon,33.6144817459791,629.673444011902
30,24,10,Corn,0N,Nitrogen,25.7619837187921,552.922922405111
31,24,10,Corn,112N,Control,17.7349874261776,447.604922285084
32,24,10,Corn,112N,Carbon,17.9140492506221,501.973549124123
33,24,10,Corn,112N,Nitrogen,15.0243571997125,389.319851187003
34,24,10,Corn,0N,Control,29.3020263669744,650.699226470193
35,24,10,Corn,0N,Carbon,32.827571058437,730.132823500735
36,24,10,Corn,0N,Nitrogen,24.6040852956246,551.576192495157
37,24,10,Miscanthus,336N,Control,37.9879298631954,785.561267635726
38,24,10,Miscanthus,336N,Carbon,33.0239957762763,789.323867520657
39,24,10,Miscanthus,336N,Nitrogen,34.4655256444908,711.28643626264
40,24,10,Miscanthus,112N,Control,30.5434007050187,583.671375303395
41,24,10,Miscanthus,112N,Carbon,35.0131654280785,764.58727580068
42,24,10,Miscanthus,112N,Nitrogen,29.2836115087772,638.506918077085
43,24,10,Miscanthus,336N,Control,9.54479413703809,238.570876056375
44,24,10,Miscanthus,336N,Carbon,9.95973238098467,325.094759673417
45,24,10,Miscanthus,336N,Nitrogen,6.27130806231279,172.232969552774
46,24,10,Miscanthus,112N,Control,8.0745958687242,199.097331287157
47,24,10,Miscanthus,112N,Carbon,14.7289212457495,381.064458529723
48,24,10,Miscanthus,112N,Nitrogen,7.85491934833407,181.585819131051
49,24,10,Miscanthus,0N,Control,35.7801495451341,773.677172054897
50,24,10,Miscanthus,0N,Carbon,40.4755329635938,930.395344604741
51,24,10,Miscanthus,0N,Nitrogen,31.7467902316125,688.666248912863
52,24,10,Miscanthus,0N,Control,14.5419785148615,389.635076217246
53,24,10,Miscanthus,0N,Carbon,15.0283379292191,414.523502172302
54,24,10,Miscanthus,0N,Nitrogen,14.320031442234,400.609859140551
55,24,10,Miscanthus,336N,Control,37.1496709326796,740.993566187058
56,24,10,Miscanthus,336N,Carbon,40.3022830717085,853.448499435413
57,24,10,Miscanthus,336N,Nitrogen,33.5802622593988,669.538943801919
58,24,10,Miscanthus,112N,Control,17.6695358677793,395.381650238061
59,24,10,Miscanthus,112N,Carbon,22.8647364043555,517.833733286756
60,24,10,Miscanthus,112N,Nitrogen,12.8698744727298,304.072056768885
61,24,10,Miscanthus,0N,Control,34.4142456735039,712.215824050088
