X,Day,event,Crop,Treatment,rep,Addition,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
247,30,4,Corn,112N,5,Control,0.000958858,0.135572884
248,30,4,Corn,112N,5,Carbon,-0.011287007,1.554393562
249,30,4,Corn,112N,5,Nitrogen,0.001824556,0.0065678
250,30,4,Corn,0N,5,Control,0.001503888,-0.035634902
251,30,4,Corn,0N,5,Carbon,0.000944067,-0.043008927
252,30,4,Corn,0N,5,Nitrogen,0.001311468,-0.036326961
253,30,4,Miscanthus,336N,1,Control,0.000603259,-0.022797381
254,30,4,Miscanthus,336N,1,Carbon,0.000152706,-0.0139963
255,30,4,Miscanthus,336N,1,Nitrogen,0.001243812,-0.022042887
256,30,4,Miscanthus,112N,6,Control,0.00133224,-0.039105717
257,30,4,Miscanthus,112N,6,Carbon,0.001282435,0.183262957
258,30,4,Miscanthus,112N,6,Nitrogen,0.001221146,-0.040834732
259,30,4,Miscanthus,336N,5,Control,0.112966122,3.040971005
260,30,4,Miscanthus,336N,5,Carbon,0.575877202,19.37116526
261,30,4,Miscanthus,336N,5,Nitrogen,0.584730404,19.93779456
262,30,4,Miscanthus,112N,5,Control,0.283006976,20.88639309
263,30,4,Miscanthus,112N,5,Carbon,0.011142413,0.749127407
264,30,4,Miscanthus,112N,5,Nitrogen,0.632834816,28.98557513
265,30,4,Miscanthus,0N,3,Control,0.034970807,0.37052813
266,30,4,Miscanthus,0N,3,Carbon,0.004136024,0.135127176
267,30,4,Miscanthus,0N,3,Nitrogen,0.001691981,-0.003444852
268,30,4,Miscanthus,0N,5,Control,0.002028759,0.094753085
269,30,4,Miscanthus,0N,5,Carbon,0.001839828,-0.040666037
270,30,4,Miscanthus,0N,5,Nitrogen,0.231705802,3.438415193
271,30,4,Miscanthus,336N,6,Control,0.008146679,0.01517428
272,30,4,Miscanthus,336N,6,Carbon,0.001978313,-0.003088367
273,30,4,Miscanthus,336N,6,Nitrogen,0.002211144,0.182634874
274,30,4,Miscanthus,112N,3,Control,0.001898172,-0.032655359
275,30,4,Miscanthus,112N,3,Carbon,0.00209206,-0.015869284
276,30,4,Miscanthus,112N,3,Nitrogen,0.001403016,-0.039183929
277,30,4,Miscanthus,0N,6,Control,0.00088266,-0.043409205
278,30,4,Miscanthus,0N,6,Carbon,0.001838283,-0.023019052
279,30,4,Miscanthus,0N,6,Nitrogen,0.001825874,0.005804355
280,30,4,Miscanthus,336N,3,Control,0.054880042,0.544857251
281,30,4,Miscanthus,336N,3,Carbon,0.081306523,1.489477656
282,30,4,Miscanthus,336N,3,Nitrogen,0.004253433,0.139606193
283,30,4,Miscanthus,0N,1,Control,0.001465904,-0.012011877
284,30,4,Miscanthus,0N,1,Carbon,0.001911484,-0.017679529
285,30,4,Miscanthus,0N,1,Nitrogen,0.00195128,-0.012904354
286,30,4,Miscanthus,112N,1,Control,0.00087753,0.022465676
287,30,4,Miscanthus,112N,1,Carbon,0.00214469,0.023113098
288,30,4,Miscanthus,112N,1,Nitrogen,0.001943417,0.027212447
289,59,6,Corn,0N,6,Control,0.000283946,-0.910558594
290,59,6,Corn,0N,6,Carbon,0.000582297,-7.071710931
291,59,6,Corn,0N,6,Nitrogen,0.00063768,0.231250082
292,59,6,Corn,112N,6,Control,0.00047302,0.069103206
293,59,6,Corn,112N,6,Carbon,0.0006821,0.017046831
294,59,6,Corn,112N,6,Nitrogen,0.000411897,0.041839899
295,59,6,Corn,0N,2,Control,0.001922136,0.035058839
296,59,6,Corn,0N,2,Carbon,0.002640911,0.082458067
297,59,6,Corn,0N,2,Nitrogen,0.085090821,2.193684796
298,59,6,Corn,112N,1,Control,0.003639732,0.092256867
299,59,6,Corn,112N,1,Carbon,0.002973615,0.110921468
300,59,6,Corn,112N,1,Nitrogen,0.005876472,0.106575892
301,59,6,Corn,336N,5,Control,0.343815562,6.772041416
302,59,6,Corn,336N,5,Carbon,0.011969467,2.309517255
303,59,6,Corn,336N,5,Nitrogen,0.001663186,0.359367424
304,59,6,Corn,336N,2,Control,0.001243046,0.029567275
305,59,6,Corn,336N,2,Carbon,0.001260065,0.476324646
306,59,6,Corn,336N,2,Nitrogen,0.001176587,0.024593442
307,59,6,Corn,112N,2,Control,0.00124064,2.88083176
308,59,6,Corn,112N,2,Carbon,0.002218518,0.104094799
309,59,6,Corn,112N,2,Nitrogen,0.000661952,6.37675475
310,59,6,Corn,336N,1,Control,0.0010818,0.107332645
311,59,6,Corn,336N,1,Carbon,0.00103019,0.072574889
312,59,6,Corn,336N,1,Nitrogen,0.001172521,0.198349862
313,59,6,Corn,336N,6,Control,0.001123537,0.056452599
314,59,6,Corn,336N,6,Carbon,0.000879792,0.072646236
315,59,6,Corn,336N,6,Nitrogen,0.000892437,0.217320296
316,59,6,Corn,0N,1,Control,0.002326371,0.06568479
317,59,6,Corn,0N,1,Carbon,0.000979951,0.05712956
318,59,6,Corn,0N,1,Nitrogen,0.005929292,0.221356205
319,59,6,Corn,112N,5,Control,0.043343588,0.777958355
320,59,6,Corn,112N,5,Carbon,0.005437738,1.469579172
321,59,6,Corn,112N,5,Nitrogen,0.002205767,0.065007493
322,59,6,Corn,0N,5,Control,0.010965999,0.145178468
323,59,6,Corn,0N,5,Carbon,0.001835745,-0.002701647
324,59,6,Corn,0N,5,Nitrogen,0.001988711,0.011525628
325,59,6,Miscanthus,336N,1,Control,0.002344711,0.01994818
326,59,6,Miscanthus,336N,1,Carbon,0.002501711,0.024492751
327,59,6,Miscanthus,336N,1,Nitrogen,-0.000814634,-0.015819807
328,59,6,Miscanthus,112N,6,Control,-0.001298292,-0.038613463
329,59,6,Miscanthus,112N,6,Carbon,-0.00141503,0.181340327
330,59,6,Miscanthus,112N,6,Nitrogen,-0.001573031,-0.045937075
331,59,6,Miscanthus,336N,5,Control,0.47662273,11.59000936
332,59,6,Miscanthus,336N,5,Carbon,0.491375212,34.84632525
333,59,6,Miscanthus,336N,5,Nitrogen,0.46436169,35.14962993
334,59,6,Miscanthus,112N,5,Control,0.016261211,25.2257818
335,59,6,Miscanthus,112N,5,Carbon,0.00299415,0.954107573
336,59,6,Miscanthus,112N,5,Nitrogen,0.294948218,42.43842911
337,59,6,Miscanthus,0N,3,Control,0.036797712,1.411171664
338,59,6,Miscanthus,0N,3,Carbon,0.042066107,0.805058075
339,59,6,Miscanthus,0N,3,Nitrogen,0.012070686,0.196113813
340,59,6,Miscanthus,0N,5,Control,0.003445018,0.174122843
341,59,6,Miscanthus,0N,5,Carbon,0.006661398,0.082601739
342,59,6,Miscanthus,0N,5,Nitrogen,0.181363085,9.427914057
343,59,6,Miscanthus,336N,6,Control,0.004493244,0.19845315
344,59,6,Miscanthus,336N,6,Carbon,-8.49e-05,0.024365543
345,59,6,Miscanthus,336N,6,Nitrogen,0.006136288,0.303672639
346,59,6,Miscanthus,112N,3,Control,5.32e-05,-0.004360653
347,59,6,Miscanthus,112N,3,Carbon,-0.000178075,0.011883491
348,59,6,Miscanthus,112N,3,Nitrogen,-9.01e-05,-0.020803517
349,59,6,Miscanthus,0N,6,Control,-0.000260892,-0.034704453
350,59,6,Miscanthus,0N,6,Carbon,-0.000250025,-0.000783444
351,59,6,Miscanthus,0N,6,Nitrogen,-0.000181899,0.028820011
352,59,6,Miscanthus,336N,3,Control,0.346963444,6.170666052
353,59,6,Miscanthus,336N,3,Carbon,0.189892604,5.286265437
354,59,6,Miscanthus,336N,3,Nitrogen,0.120290016,1.883214486
355,59,6,Miscanthus,0N,1,Control,0.002272452,0.040325103
356,59,6,Miscanthus,0N,1,Carbon,-0.000124646,0.007336203
357,59,6,Miscanthus,0N,1,Nitrogen,-0.000127572,0.012627559
358,59,6,Miscanthus,112N,1,Control,-0.000232157,0.031500903
359,59,6,Miscanthus,112N,1,Carbon,0.000144863,0.055166832
360,59,6,Miscanthus,112N,1,Nitrogen,0.000134669,0.056305659
361,86,7,Corn,0N,6,Control,0.001360786,-0.888354713
362,86,7,Corn,0N,6,Carbon,0.001579276,-7.042529696
363,86,7,Corn,0N,6,Nitrogen,0.00316855,0.282634193
364,86,7,Corn,112N,6,Control,0.001365349,0.093921199
365,86,7,Corn,112N,6,Carbon,0.001355472,0.044554059
366,86,7,Corn,112N,6,Nitrogen,0.001292635,0.064851081
367,86,7,Corn,0N,2,Control,0.001936107,0.08714512
368,86,7,Corn,0N,2,Carbon,0.023291453,0.432544985
369,86,7,Corn,0N,2,Nitrogen,0.084127979,4.478138592
370,86,7,Corn,112N,1,Control,0.001605862,0.163072389
371,86,7,Corn,112N,1,Carbon,0.001350002,0.169290296
372,86,7,Corn,112N,1,Nitrogen,0.001394457,0.204733438
373,86,7,Corn,336N,5,Control,0.317081618,15.69415334
374,86,7,Corn,336N,5,Carbon,0.02034308,2.745736638
375,86,7,Corn,336N,5,Nitrogen,0.120014514,2.002016377
376,86,7,Corn,336N,2,Control,0.042803597,0.62419696
377,86,7,Corn,336N,2,Carbon,0.004235293,0.550511975
378,86,7,Corn,336N,2,Nitrogen,0.001414412,0.05957193
379,86,7,Corn,112N,2,Control,0.007956338,3.004990963
380,86,7,Corn,112N,2,Carbon,0.009544108,0.26289024
381,86,7,Corn,112N,2,Nitrogen,0.00129432,6.403164411
382,86,7,Corn,336N,1,Control,0.001176891,0.137824972
383,86,7,Corn,336N,1,Carbon,0.001338806,0.104556334
384,86,7,Corn,336N,1,Nitrogen,0.001162096,0.229867192
385,86,7,Corn,336N,6,Control,0.001214529,0.088016479
386,86,7,Corn,336N,6,Carbon,0.001323598,0.102392001
387,86,7,Corn,336N,6,Nitrogen,0.001140263,0.244761745
388,86,7,Corn,0N,1,Control,0.002992991,0.137496169
389,86,7,Corn,0N,1,Carbon,0.001241887,0.087124371
390,86,7,Corn,0N,1,Nitrogen,0.004790009,0.366066768
391,86,7,Corn,112N,5,Control,0.152681195,3.424292932
392,86,7,Corn,112N,5,Carbon,0.122351286,3.194731006
393,86,7,Corn,112N,5,Nitrogen,0.035652504,0.576094156
394,86,7,Corn,0N,5,Control,0.002628022,0.328697761
395,86,7,Corn,0N,5,Carbon,0.001116461,0.037153128
396,86,7,Corn,0N,5,Nitrogen,0.001220553,0.054850682
397,86,7,Miscanthus,336N,1,Control,0.001004446,0.065161798
398,86,7,Miscanthus,336N,1,Carbon,0.001390628,0.077039334
399,86,7,Miscanthus,336N,1,Nitrogen,0.001896103,-0.001219966
400,86,7,Miscanthus,112N,6,Control,0.00131115,-0.038439868
401,86,7,Miscanthus,112N,6,Carbon,-0.00508155,0.093636495
402,86,7,Miscanthus,112N,6,Nitrogen,0.000936931,-0.054524429
403,86,7,Miscanthus,336N,5,Control,0.654592766,26.86141856
404,86,7,Miscanthus,336N,5,Carbon,0.351977038,46.23158062
405,86,7,Miscanthus,336N,5,Nitrogen,0.381424679,46.56774593
406,86,7,Miscanthus,112N,5,Control,0.002439529,25.47824179
407,86,7,Miscanthus,112N,5,Carbon,0.004368434,1.053502458
408,86,7,Miscanthus,112N,5,Nitrogen,0.078914343,47.48557367
409,86,7,Miscanthus,0N,3,Control,0.079881431,2.986340095
410,86,7,Miscanthus,0N,3,Carbon,0.034528319,1.839082835
411,86,7,Miscanthus,0N,3,Nitrogen,0.007238885,0.45679302
412,86,7,Miscanthus,0N,5,Control,0.016669872,0.445673861
413,86,7,Miscanthus,0N,5,Carbon,0.008824468,0.291660933
414,86,7,Miscanthus,0N,5,Nitrogen,0.009928356,12.01034851
